Symbol,Yearly_Change,Avg_Month_Change,Avg_Month_Volatile
BAJAJFINSV.NS,-11.59,-0.97,11.9
BAJAJHCARE.NS,29.97,2.5,25.44
BAJAJHFL.NS,-19.73,-6.58,18.46
BAJAJHIND.NS,10.28,0.86,28.89
BAJAJHLDNG.NS,32.27,2.69,12.9
BAJEL.NS,74.94,6.24,32.08
BAJFINANCE.NS,-9.93,-0.83,12.88
BALAJEE.NS,-14.89,-4.96,15.72
BALAJITELE.NS,21.36,1.78,31.92
BALAMINES.NS,-30.47,-2.54,16.81
BALAXI.NS,-10.56,-0.88,28.12
BALKRISHNA.NS,-9.69,-0.81,28.83
BALKRISIND.NS,8.38,0.7,14.39
BALMLAWRIE.NS,-3.85,-0.32,22.15
BALPHARMA.NS,16.39,1.37,24.26
BALRAMCHIN.NS,28.25,2.35,18.26
BALUFORGE.NS,115.64,14.46,39.59
BANARBEADS.NS,29.07,2.42,23.48
BANARISUG.NS,34.88,2.91,19.38
BANCOINDIA.NS,52.24,4.35,25.32
BANDHANBNK.NS,-45.94,-3.83,17.71
BANG.NS,72.72,6.06,31.06
BANKA.NS,19.2,1.6,31.9
BANKBARODA.NS,-5.17,-0.43,15.2
BANKINDIA.NS,-10.71,-0.89,18.56
BANSALWIRE.NS,18.82,3.76,20.26
BANSWRAS.NS,-1.31,-0.11,18.84
BARBEQUE.NS,-35.38,-2.95,19.75
BASF.NS,66.14,5.51,24.68
BASML.NS,14.25,1.19,27.19
BATAINDIA.NS,-23.57,-1.96,11.3
BAYERCROP.NS,6.15,0.51,15.96
BBL.NS,43.0,3.58,28.38
BBOX.NS,80.76,6.73,28.11
BBTC.NS,38.88,3.24,22.16
BBTCL.NS,-38.21,-3.19,13.0
BCG.NS,-52.06,-4.34,27.67
BCLIND.NS,-28.05,-2.34,23.78
BCONCEPTS.NS,-62.83,-5.24,25.68
BDL.NS,42.05,3.5,28.9
BEARDSELL.NS,-19.0,-1.58,29.17
BECTORFOOD.NS,38.63,3.22,21.84
BEDMUTHA.NS,23.15,1.93,32.35
BEL.NS,35.18,2.93,19.48
BEML.NS,30.97,2.58,29.29
BEPL.NS,36.94,3.08,24.67
BERGEPAINT.NS,-24.79,-2.06,14.2
BESTAGRO.NS,-13.68,-1.52,23.51
BFINVEST.NS,24.16,2.01,24.25
BFUTILITIE.NS,61.02,5.08,30.09
BGLOBAL.NS,29.67,2.47,17.44
BGRENERGY.NS,58.7,4.89,48.2
BHAGCHEM.NS,78.22,6.52,28.65
BHAGERIA.NS,20.9,1.74,26.73
BHAGYANGR.NS,-24.51,-2.04,24.26
BHANDARI.NS,23.75,1.98,28.82
BHARATFORG.NS,-1.74,-0.15,17.54
BHARATGEAR.NS,-22.67,-1.89,15.51
BHARATRAS.NS,7.89,0.66,20.11
BHARATWIRE.NS,-35.25,-2.94,23.64
BHARTIARTL.NS,40.7,3.39,12.79
BHARTIHEXA.NS,48.55,6.07,24.1
BHEL.NS,10.72,0.9,22.18
BIGBLOC.NS,32.71,2.73,30.59
BIKAJI.NS,39.08,3.26,19.06
BIL.NS,104.95,8.74,31.35
BIOCON.NS,26.34,2.19,18.41
BIOFILCHEM.NS,3.41,0.28,28.91
BIRLACABLE.NS,-27.11,-2.26,22.74
BIRLACORPN.NS,-20.95,-1.75,17.67
BIRLAMONEY.NS,123.8,10.32,33.65
BKMINDST.NS,55.04,5.0,29.29
BLACKBUCK.NS,87.71,87.71,95.78
BLAL.NS,12.26,1.02,26.6
BLBLIMITED.NS,20.71,1.73,35.32
BLISSGVS.NS,28.05,2.34,26.71
BLKASHYAP.NS,20.31,1.69,26.48
BLS.NS,46.76,3.9,25.93
BLSE.NS,-72.52,-7.25,24.07
BLUECHIP.NS,137.35,11.44,29.34
BLUECOAST.NS,99.86,8.32,15.97
BLUEDART.NS,-8.46,-0.7,15.6
BLUEJET.NS,40.77,3.4,18.08
BLUESTARCO.NS,74.14,6.18,19.62
BODALCHEM.NS,-27.43,-2.29,19.62
BOHRAIND.NS,-60.18,-5.02,23.27
BOMDYEING.NS,22.36,1.86,25.48
BOROLTD.NS,10.66,0.89,19.11
BORORENEW.NS,39.17,3.26,24.98
BOROSCI.NS,-24.2,-4.04,17.73
BOSCHLTD.NS,48.48,4.04,14.29
BPCL.NS,18.4,1.53,18.61
BPL.NS,40.8,3.4,29.98
BRIGADE.NS,26.16,2.18,21.71
BRITANNIA.NS,-13.14,-1.1,10.61
BRNL.NS,11.73,0.98,34.08
BROOKS.NS,21.29,1.78,28.91
BSE.NS,88.5,7.38,26.42
BSHSL.NS,-60.76,-5.06,19.84
BSL.NS,22.11,1.84,23.39
BSOFT.NS,-21.62,-1.8,16.69
BTML.NS,-68.87,-5.74,29.36
BURNPUR.NS,7.9,0.66,31.8
BUTTERFLY.NS,-25.75,-2.14,20.16
BVCL.NS,-13.46,-1.12,24.75
BYKE.NS,44.02,3.67,28.96
CALSOFT.NS,-26.34,-2.2,25.97
CAMLINFINE.NS,-4.72,-0.39,21.78
CAMPUS.NS,2.66,0.22,20.22
CAMS.NS,57.01,4.75,18.33
CANBK.NS,5.91,0.49,16.4
CANFINHOME.NS,-9.96,-0.83,15.54
CANTABIL.NS,3.9,0.32,21.1
CAPACITE.NS,50.08,4.17,24.26
CAPITALSFB.NS,-38.86,-3.88,13.03
CAPLIPOINT.NS,47.38,3.95,18.32
CAPTRUST.NS,20.13,1.68,32.16
CARBORUNIV.NS,16.24,1.35,16.59
CAREERP.NS,72.37,6.03,25.75
CARERATING.NS,38.89,3.24,19.59
CARTRADE.NS,81.82,6.82,23.65
CARYSIL.NS,-8.96,-0.75,19.38
CASTROLIND.NS,11.9,0.99,20.52
CCCL.NS,1693.98,423.49,478.35
CCHHL.NS,44.28,3.69,32.3
CCL.NS,14.27,1.19,14.7
CDSL.NS,64.33,5.36,22.37
CEATLTD.NS,18.07,1.5,19.46
CEIGALL.NS,-13.4,-3.35,16.74
CELEBRITY.NS,-19.52,-1.63,27.75
CELLO.NS,-10.28,-0.86,15.53
CENTENKA.NS,38.45,3.2,25.85
CENTEXT.NS,40.73,3.39,31.65
CENTRALBK.NS,3.25,0.27,20.22
CENTRUM.NS,20.98,1.75,26.66
CENTUM.NS,52.24,4.35,28.43
CENTURYPLY.NS,-0.58,-0.05,17.23
CERA.NS,-10.34,-0.86,16.29
CEREBRAINT.NS,38.2,3.18,36.8
CESC.NS,30.93,2.58,21.48
CGCL.NS,-3.31,-0.27,20.62
CGPOWER.NS,28.15,2.35,20.12
CHALET.NS,22.55,1.88,20.1
CHAMBLFERT.NS,30.81,2.57,20.75
CHEMBOND.NS,14.11,1.18,21.81
CHEMCON.NS,-28.29,-2.36,15.29
CHEMFAB.NS,121.7,10.14,33.65
CHEMPLASTS.NS,-5.49,-0.46,19.53
CHENNPETRO.NS,-16.33,-1.36,27.66
CHEVIOT.NS,-10.39,-0.87,15.26
CHOICEIN.NS,76.92,6.41,17.34
CHOLAFIN.NS,-6.33,-0.53,15.2
CHOLAHLDNG.NS,40.35,3.36,21.78
CIEINDIA.NS,-8.41,-0.7,14.36
CIGNITITEC.NS,54.28,4.52,13.21
CINELINE.NS,-8.36,-0.7,26.99
CINEVISTA.NS,6.02,0.5,24.16
CIPLA.NS,10.67,0.89,11.59
CLEAN.NS,-10.87,-0.91,14.61
CLEDUCATE.NS,9.29,0.77,27.34
CLSEL.NS,53.03,4.42,22.94
CMICABLES.NS,-28.9,-2.41,18.99
CMSINFO.NS,16.69,1.39,17.16
COALINDIA.NS,-6.11,-0.51,15.13
COASTCORP.NS,-8.72,-0.73,23.84
COCHINSHIP.NS,90.38,7.53,38.53
COFFEEDAY.NS,-90.81,-7.57,28.44
COFORGE.NS,41.06,3.42,16.7
COLPAL.NS,12.35,1.03,13.1
COMPINFO.NS,-76.7,-6.39,34.34
COMPUSOFT.NS,-4.5,-0.38,30.53
COMSYN.NS,-20.58,-1.87,27.9
CONCOR.NS,-15.3,-1.27,16.84
CONCORDBIO.NS,34.14,2.84,21.53
CONFIPET.NS,-21.2,-1.77,23.28
CONSOFINVT.NS,-44.12,-3.68,19.77
CONTROLPR.NS,-34.6,-2.88,15.64
CORALFINAC.NS,-21.8,-1.82,30.99
CORDSCABLE.NS,51.23,4.27,30.86
COROMANDEL.NS,39.29,3.28,14.41
COSMOFIRST.NS,49.46,4.12,23.72
COUNCODOS.NS,24.87,2.07,29.39
CRAFTSMAN.NS,-3.86,-0.32,22.02
CREATIVE.NS,23.49,1.96,24.16
CREATIVEYE.NS,69.79,5.82,37.38
CREDITACC.NS,-70.32,-5.86,18.15
CREST.NS,51.67,4.31,30.72
CRISIL.NS,27.06,2.26,15.82
CROMPTON.NS,19.7,1.64,16.09
CROWN.NS,57.73,4.81,26.32
CSBBANK.NS,-31.03,-2.59,14.35
CSLFINANCE.NS,-41.02,-3.42,21.62
CTE.NS,59.56,4.96,34.85
CUB.NS,10.98,0.92,14.65
CUBEXTUB.NS,43.53,3.63,28.66
CUMMINSIND.NS,51.03,4.25,18.49
CUPID.NS,37.52,3.13,30.94
CYBERMEDIA.NS,-0.39,-0.03,32.86
CYBERTECH.NS,12.35,1.03,31.07
CYIENT.NS,-20.48,-1.7,16.65
CYIENTDLM.NS,-1.58,-0.13,19.27
DABUR.NS,-13.1,-1.09,10.78
DALBHARAT.NS,-30.16,-2.51,13.29
DALMIASUG.NS,-11.28,-0.94,22.5
DAMODARIND.NS,-22.11,-1.84,22.33
DANGEE.NS,-55.97,-4.66,25.28
DATAMATICS.NS,-14.66,-1.22,22.04
DATAPATTNS.NS,23.73,1.98,26.63
DAVANGERE.NS,-54.52,-4.96,31.4
DBCORP.NS,9.32,0.78,23.24
DBEIL.NS,16.8,8.4,25.02
DBL.NS,14.89,1.24,23.27
DBOL.NS,-24.64,-2.05,21.07
DBREALTY.NS,0.95,0.08,26.64
DBSTOCKBRO.NS,21.8,1.82,30.85
DCAL.NS,50.82,4.24,33.43
DCBBANK.NS,-14.03,-1.17,15.35
DCI.NS,65.15,5.43,32.42
DCM.NS,36.61,3.05,23.68
DCMFINSERV.NS,107.34,8.94,41.97
DCMNVL.NS,16.85,1.4,22.43
DCMSHRIRAM.NS,3.72,0.31,18.21
DCMSRIND.NS,13.38,1.12,20.91
DCW.NS,51.3,4.27,27.97
DCXINDIA.NS,-10.99,-0.92,23.75
DECCANCE.NS,6.3,0.53,16.23
DEEDEV.NS,-1.92,-0.32,22.72
DEEPAKFERT.NS,58.48,4.87,27.23
DEEPAKNTR.NS,1.01,0.08,16.12
DEEPINDS.NS,80.8,6.73,23.17
DELHIVERY.NS,-13.84,-1.15,16.2
DELPHIFX.NS,-28.6,-2.38,26.23
