Symbol,Yearly_Change,Avg_Month_Change,Avg_Month_Volatile
BHARTIARTL.NS,41.25,3.44,12.79
BHARTIHEXA.NS,49.37,6.17,24.1
BHEL.NS,11.18,0.93,22.18
BIGBLOC.NS,32.46,2.71,30.59
BIKAJI.NS,39.71,3.31,19.06
BIL.NS,104.95,8.74,31.35
BIOCON.NS,26.35,2.2,18.41
BIOFILCHEM.NS,3.18,0.27,28.91
BIRLACABLE.NS,-26.97,-2.25,22.74
BIRLACORPN.NS,-21.24,-1.77,17.67
BIRLAMONEY.NS,122.13,10.18,33.65
BKMINDST.NS,55.04,4.59,26.84
BLACKBUCK.NS,83.35,83.35,95.78
BLAL.NS,12.14,1.01,26.6
BLBLIMITED.NS,20.91,1.74,35.32
BLISSGVS.NS,28.84,2.4,26.71
BLKASHYAP.NS,19.59,1.63,26.48
BLS.NS,46.8,3.9,25.93
BLSE.NS,-71.86,-7.19,24.07
BLUECHIP.NS,137.35,11.44,29.34
BLUECOAST.NS,99.86,8.32,15.97
BLUEDART.NS,-8.47,-0.7,15.6
BLUEJET.NS,41.11,3.42,18.08
BLUESTARCO.NS,75.24,6.27,19.62
BODALCHEM.NS,-28.02,-2.34,19.62
BOHRAIND.NS,-57.16,-4.76,23.27
BOMDYEING.NS,22.21,1.85,25.48
BOROLTD.NS,12.31,1.03,19.11
BORORENEW.NS,38.74,3.23,24.98
BOROSCI.NS,-23.55,-3.93,17.73
BOSCHLTD.NS,48.33,4.03,14.29
BPCL.NS,18.34,1.53,18.61
BPL.NS,40.84,3.4,29.98
BRIGADE.NS,26.82,2.24,21.71
BRITANNIA.NS,-13.14,-1.1,10.61
BRNL.NS,11.12,0.93,34.08
BROOKS.NS,21.29,1.78,28.91
BSE.NS,88.84,7.4,26.42
BSHSL.NS,-60.94,-5.08,19.84
BSL.NS,23.53,1.96,23.39
BSOFT.NS,-22.3,-1.86,16.69
BTML.NS,-68.22,-5.68,29.36
BURNPUR.NS,6.79,0.57,31.8
BUTTERFLY.NS,-25.89,-2.16,20.16
BVCL.NS,-14.27,-1.19,24.75
BYKE.NS,43.82,3.65,28.96
CALSOFT.NS,-25.54,-2.13,25.97
CAMLINFINE.NS,-4.41,-0.37,21.78
CAMPUS.NS,3.06,0.26,20.22
CAMS.NS,56.99,4.75,18.33
CANBK.NS,5.97,0.5,16.4
CANFINHOME.NS,-9.97,-0.83,15.54
CANTABIL.NS,5.04,0.42,21.1
CAPACITE.NS,50.13,4.18,24.26
CAPITALSFB.NS,-38.3,-3.83,13.03
CAPLIPOINT.NS,48.89,4.07,18.32
CAPTRUST.NS,20.13,1.68,32.16
CARBORUNIV.NS,16.21,1.35,16.59
CAREERP.NS,72.3,6.02,25.75
CARERATING.NS,39.14,3.26,19.59
CARTRADE.NS,80.57,6.71,23.65
CARYSIL.NS,-9.1,-0.76,19.38
CASTROLIND.NS,11.39,0.95,20.52
CCCL.NS,1693.98,141.16,159.45
CCHHL.NS,45.26,3.77,32.3
CCL.NS,14.58,1.21,14.7
CDSL.NS,64.5,5.38,22.36
CEATLTD.NS,16.26,1.35,19.46
CEIGALL.NS,-14.14,-3.54,16.74
CELEBRITY.NS,-19.26,-1.61,27.75
CELLO.NS,-11.0,-0.92,15.53
CENTENKA.NS,39.7,3.31,25.85
CENTEXT.NS,40.44,3.37,31.65
CENTRALBK.NS,2.91,0.24,20.22
CENTRUM.NS,21.16,1.76,26.66
CENTUM.NS,53.43,4.45,28.43
CENTURYPLY.NS,-0.93,-0.08,17.23
CERA.NS,-10.55,-0.88,16.29
CEREBRAINT.NS,39.06,3.25,36.8
CESC.NS,30.78,2.56,21.48
CGCL.NS,-3.57,-0.3,20.62
CGPOWER.NS,28.28,2.36,20.12
CHALET.NS,22.81,1.9,20.1
CHAMBLFERT.NS,31.56,2.63,20.75
CHEMBOND.NS,13.75,1.15,21.81
CHEMCON.NS,-28.15,-2.35,15.29
CHEMFAB.NS,122.88,10.24,33.65
CHEMPLASTS.NS,-5.32,-0.44,19.53
CHENNPETRO.NS,-16.58,-1.38,27.66
CHEVIOT.NS,-10.31,-0.86,15.26
CHOICEIN.NS,76.93,6.41,17.34
CHOLAFIN.NS,-6.46,-0.54,15.2
