Date,Close,High,Low,Open,Volume,Month_Change,Month_Volatile,Yearly_Change,Symbol
,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,,,,
2024-10-01,347.95,434.95,315.1,420.8,1523139,-17.31,38.04,32.78,ARIHANTSUP.NS
2024-11-01,372.8,384.7,322.9,352.0,993960,5.91,19.14,38.69,ARIHANTSUP.NS
2024-12-01,443.6,475.4,368.05,374.95,2126102,18.31,29.17,56.99,ARIHANTSUP.NS
2024-10-01,142.11,172.61,131.0,151.6,36909019,-6.26,31.76,-6.26,ARKADE.NS
2024-11-01,148.47,151.8,128.15,142.55,13798244,4.15,18.45,-2.11,ARKADE.NS
2024-12-01,160.99,182.2,146.75,147.38,58319218,9.23,24.16,7.13,ARKADE.NS
2024-01-01,2332.8,2637.3,2256.6,2479.7,786132,-5.92,16.87,-5.92,ARMANFIN.NS
2024-02-01,2073.7,2477.0,2062.0,2360.0,670225,-12.13,20.13,-18.06,ARMANFIN.NS
2024-03-01,1834.7,2153.95,1696.6,2097.05,896074,-12.51,26.96,-30.57,ARMANFIN.NS
2024-04-01,2017.45,2147.1,1848.45,1848.45,489965,9.14,16.16,-21.42,ARMANFIN.NS
2024-05-01,2006.05,2191.35,1970.0,2017.45,563271,-0.57,11.24,-21.99,ARMANFIN.NS
2024-06-01,2088.85,2541.7,1808.05,2011.2,1257135,3.86,40.58,-18.13,ARMANFIN.NS
2024-07-01,1874.05,2173.3,1871.0,2092.65,672283,-10.45,16.16,-28.57,ARMANFIN.NS
2024-08-01,1751.25,1890.05,1604.15,1674.9,1706898,4.56,17.82,-24.01,ARMANFIN.NS
2024-09-01,1693.2,1864.4,1600.9,1769.0,1043745,-4.28,16.46,-28.3,ARMANFIN.NS
2024-10-01,1481.4,1699.15,1425.95,1695.0,1031558,-12.6,19.16,-40.9,ARMANFIN.NS
2024-11-01,1322.4,1521.0,1174.05,1501.0,844679,-11.9,29.55,-52.8,ARMANFIN.NS
2024-12-01,1259.9,1408.1,1247.2,1328.85,391834,-5.19,12.9,-57.99,ARMANFIN.NS
2024-01-01,62.35,69.3,50.0,50.4,2822840,23.71,38.6,23.71,AROGRANITE.NS
2024-02-01,54.1,65.4,51.2,63.6,1557190,-14.94,27.73,8.77,AROGRANITE.NS
2024-03-01,44.9,56.75,41.1,53.55,1102557,-16.15,38.08,-7.38,AROGRANITE.NS
2024-04-01,55.65,58.9,45.0,45.0,1182428,23.67,30.89,16.29,AROGRANITE.NS
2024-05-01,51.8,57.25,50.5,56.2,566813,-7.83,13.37,8.46,AROGRANITE.NS
2024-06-01,57.02,61.79,49.15,52.05,1666911,9.55,25.72,18.01,AROGRANITE.NS
2024-07-01,61.52,64.0,56.21,57.0,2192019,7.93,13.86,25.94,AROGRANITE.NS
2024-08-01,60.12,64.99,53.5,61.52,2118293,-2.28,21.48,23.66,AROGRANITE.NS
2024-09-01,57.39,64.5,54.42,60.12,1688674,-4.54,18.52,19.12,AROGRANITE.NS
2024-10-01,51.79,59.7,49.9,57.56,511960,-10.02,19.64,9.09,AROGRANITE.NS
2024-11-01,49.18,55.44,45.11,53.79,412171,-8.57,22.9,0.52,AROGRANITE.NS
2024-12-01,47.11,53.7,47.0,50.25,273519,-6.25,14.26,-5.72,AROGRANITE.NS
2024-01-01,431.2,454.1,401.48,438.94,1376484,-1.76,13.11,-1.76,ARROWGREEN.NS
2024-02-01,406.66,497.79,389.06,431.2,2571893,-5.69,27.95,-7.45,ARROWGREEN.NS
2024-03-01,385.57,414.99,334.24,409.86,606166,-5.93,24.16,-13.38,ARROWGREEN.NS
2024-04-01,454.05,468.86,383.57,383.57,1072401,18.37,22.24,4.99,ARROWGREEN.NS
2024-05-01,571.32,630.47,454.05,454.05,7372535,25.83,38.85,30.82,ARROWGREEN.NS
2024-06-01,561.54,625.13,484.33,588.57,2160590,-4.59,29.07,26.23,ARROWGREEN.NS
