[2024-12-23 00:44:17] Data for AFCONS.NS successfully processed.
[2024-12-23 00:44:18] Processing symbol: AFFLE.NS - 57/2140
[2024-12-23 00:44:18] Data for AFFLE.NS successfully processed.
[2024-12-23 00:44:19] Processing symbol: AFFORDABLE.NS - 58/2140
[2024-12-23 00:44:19] Data for AFFORDABLE.NS successfully processed.
[2024-12-23 00:44:20] Processing symbol: AFIL.NS - 59/2140
[2024-12-23 00:44:20] Data for AFIL.NS successfully processed.
[2024-12-23 00:44:20] Processing symbol: AGARIND.NS - 60/2140
[2024-12-23 00:44:21] Data for AGARIND.NS successfully processed.
[2024-12-23 00:44:21] Processing symbol: AGI.NS - 61/2140
[2024-12-23 00:44:22] Data for AGI.NS successfully processed.
[2024-12-23 00:44:22] Processing symbol: AGIIL.NS - 62/2140
[2024-12-23 00:44:22] Data for AGIIL.NS successfully processed.
[2024-12-23 00:44:23] Processing symbol: AGRITECH.NS - 63/2140
[2024-12-23 00:44:23] Data for AGRITECH.NS successfully processed.
[2024-12-23 00:44:24] Processing symbol: AGROPHOS.NS - 64/2140
[2024-12-23 00:44:24] Data for AGROPHOS.NS successfully processed.
[2024-12-23 00:44:25] Processing symbol: AGSTRA.NS - 65/2140
[2024-12-23 00:44:25] Data for AGSTRA.NS successfully processed.
[2024-12-23 00:44:26] Processing symbol: AHL.NS - 66/2140
[2024-12-23 00:44:26] Data for AHL.NS successfully processed.
[2024-12-23 00:44:27] Processing symbol: AHLADA.NS - 67/2140
[2024-12-23 00:44:27] Data for AHLADA.NS successfully processed.
[2024-12-23 00:44:27] Processing symbol: AHLEAST.NS - 68/2140
[2024-12-23 00:44:28] Data for AHLEAST.NS successfully processed.
[2024-12-23 00:44:28] Processing symbol: AHLUCONT.NS - 69/2140
[2024-12-23 00:44:28] Data for AHLUCONT.NS successfully processed.
[2024-12-23 00:44:29] Processing symbol: AIAENG.NS - 70/2140
[2024-12-23 00:44:29] Data for AIAENG.NS successfully processed.
[2024-12-23 00:44:30] Processing symbol: AIIL.NS - 71/2140
[2024-12-23 00:44:30] Data for AIIL.NS successfully processed.
[2024-12-23 00:44:31] Processing symbol: AIRAN.NS - 72/2140
[2024-12-23 00:44:31] Data for AIRAN.NS successfully processed.
[2024-12-23 00:44:32] Processing symbol: AIROLAM.NS - 73/2140
[2024-12-23 00:44:32] Data for AIROLAM.NS successfully processed.
[2024-12-23 00:44:33] Processing symbol: AJANTPHARM.NS - 74/2140
[2024-12-23 00:44:33] Data for AJANTPHARM.NS successfully processed.
[2024-12-23 00:44:33] Processing symbol: AJMERA.NS - 75/2140
[2024-12-23 00:44:34] Data for AJMERA.NS successfully processed.
[2024-12-23 00:44:34] Processing symbol: AJOONI.NS - 76/2140
[2024-12-23 00:44:35] Data for AJOONI.NS successfully processed.
[2024-12-23 00:44:35] Processing symbol: AKASH.NS - 77/2140
[2024-12-23 00:44:35] Data for AKASH.NS successfully processed.
[2024-12-23 00:44:36] Processing symbol: AKG.NS - 78/2140
[2024-12-23 00:44:36] Data for AKG.NS successfully processed.
[2024-12-23 00:44:37] Processing symbol: AKI.NS - 79/2140
[2024-12-23 00:44:37] Data for AKI.NS successfully processed.
[2024-12-23 00:44:38] Processing symbol: AKSHAR.NS - 80/2140
[2024-12-23 00:44:38] Data for AKSHAR.NS successfully processed.
[2024-12-23 00:44:39] Processing symbol: AKSHARCHEM.NS - 81/2140
[2024-12-23 00:44:39] Data for AKSHARCHEM.NS successfully processed.
[2024-12-23 00:44:40] Processing symbol: AKSHOPTFBR.NS - 82/2140
[2024-12-23 00:44:40] Data for AKSHOPTFBR.NS successfully processed.
[2024-12-23 00:44:40] Processing symbol: AKUMS.NS - 83/2140
[2024-12-23 00:44:41] Data for AKUMS.NS successfully processed.
[2024-12-23 00:44:41] Processing symbol: AKZOINDIA.NS - 84/2140
[2024-12-23 00:44:42] Data for AKZOINDIA.NS successfully processed.
[2024-12-23 00:44:42] Processing symbol: ALANKIT.NS - 85/2140
[2024-12-23 00:44:42] Data for ALANKIT.NS successfully processed.
[2024-12-23 00:44:43] Processing symbol: ALBERTDAVD.NS - 86/2140
[2024-12-23 00:44:43] Data for ALBERTDAVD.NS successfully processed.
[2024-12-23 00:44:44] Processing symbol: ALEMBICLTD.NS - 87/2140
[2024-12-23 00:44:44] Data for ALEMBICLTD.NS successfully processed.
[2024-12-23 00:44:45] Processing symbol: ALICON.NS - 88/2140
[2024-12-23 00:44:45] Data for ALICON.NS successfully processed.
[2024-12-23 00:44:46] Processing symbol: ALKALI.NS - 89/2140
[2024-12-23 00:44:46] Data for ALKALI.NS successfully processed.
[2024-12-23 00:44:47] Processing symbol: ALKEM.NS - 90/2140
[2024-12-23 00:44:47] Data for ALKEM.NS successfully processed.
[2024-12-23 00:44:48] Processing symbol: ALKYLAMINE.NS - 91/2140
[2024-12-23 00:44:48] Data for ALKYLAMINE.NS successfully processed.
[2024-12-23 00:44:48] Processing symbol: ALLCARGO.NS - 92/2140
[2024-12-23 00:44:49] Data for ALLCARGO.NS successfully processed.
[2024-12-23 00:44:49] Processing symbol: ALLDIGI.NS - 93/2140
[2024-12-23 00:44:49] Data for ALLDIGI.NS successfully processed.
[2024-12-23 00:44:50] Processing symbol: ALMONDZ.NS - 94/2140
[2024-12-23 00:44:50] Data for ALMONDZ.NS successfully processed.
[2024-12-23 00:44:51] Processing symbol: ALOKINDS.NS - 95/2140
[2024-12-23 00:44:51] Data for ALOKINDS.NS successfully processed.
[2024-12-23 00:44:52] Processing symbol: ALPA.NS - 96/2140
[2024-12-23 00:44:52] Data for ALPA.NS successfully processed.
[2024-12-23 00:44:53] Processing symbol: ALPHAGEO.NS - 97/2140
[2024-12-23 00:44:53] Data for ALPHAGEO.NS successfully processed.
[2024-12-23 00:44:54] Processing symbol: ALPSINDUS.NS - 98/2140
[2024-12-23 00:44:54] Data for ALPSINDUS.NS successfully processed.
[2024-12-23 00:44:55] Processing symbol: AMBER.NS - 99/2140
[2024-12-23 00:44:55] Data for AMBER.NS successfully processed.
[2024-12-23 00:44:55] Processing symbol: AMBICAAGAR.NS - 100/2140
[2024-12-23 00:44:56] Data for AMBICAAGAR.NS successfully processed.
[2024-12-23 00:44:56] Processing symbol: AMBIKCO.NS - 101/2140
[2024-12-23 00:44:56] Data for AMBIKCO.NS successfully processed.
[2024-12-23 00:44:57] Processing symbol: AMBUJACEM.NS - 102/2140
[2024-12-23 00:44:57] Data for AMBUJACEM.NS successfully processed.
[2024-12-23 00:44:58] Processing symbol: AMDIND.NS - 103/2140
[2024-12-23 00:44:58] Data for AMDIND.NS successfully processed.
[2024-12-23 00:44:59] Processing symbol: AMIORG.NS - 104/2140
[2024-12-23 00:44:59] Data for AMIORG.NS successfully processed.
[2024-12-23 00:45:00] Processing symbol: AMJLAND.NS - 105/2140
[2024-12-23 00:45:00] Data for AMJLAND.NS successfully processed.
[2024-12-23 00:45:01] Processing symbol: AMNPLST.NS - 106/2140
[2024-12-23 00:45:01] Data for AMNPLST.NS successfully processed.
[2024-12-23 00:45:02] Processing symbol: AMRUTANJAN.NS - 107/2140
[2024-12-23 00:45:02] Data for AMRUTANJAN.NS successfully processed.
[2024-12-23 00:45:02] Processing symbol: ANANDRATHI.NS - 108/2140
[2024-12-23 00:45:03] Data for ANANDRATHI.NS successfully processed.
[2024-12-23 00:45:03] Processing symbol: ANANTRAJ.NS - 109/2140
[2024-12-23 00:45:04] Data for ANANTRAJ.NS successfully processed.
[2024-12-23 00:45:04] Processing symbol: ANDHRAPAP.NS - 110/2140
[2024-12-23 00:45:04] Data for ANDHRAPAP.NS successfully processed.
[2024-12-23 00:45:05] Processing symbol: ANDHRSUGAR.NS - 111/2140
[2024-12-23 00:45:05] Data for ANDHRSUGAR.NS successfully processed.
[2024-12-23 00:45:06] Processing symbol: ANDREWYU.NS - 112/2140
[2024-12-23 00:45:06] No data found for ANDREWYU.NS, skipping.
[2024-12-23 00:45:06] Processing symbol: ANGELONE.NS - 113/2140
[2024-12-23 00:45:06] Data for ANGELONE.NS successfully processed.
[2024-12-23 00:45:07] Processing symbol: ANIKINDS.NS - 114/2140
[2024-12-23 00:45:07] Data for ANIKINDS.NS successfully processed.
[2024-12-23 00:45:08] Processing symbol: ANKITMETAL.NS - 115/2140
[2024-12-23 00:45:08] Data for ANKITMETAL.NS successfully processed.
[2024-12-23 00:45:09] Processing symbol: ANMOL.NS - 116/2140
[2024-12-23 00:45:09] Data for ANMOL.NS successfully processed.
[2024-12-23 00:45:10] Processing symbol: ANSALAPI.NS - 117/2140
[2024-12-23 00:45:10] Data for ANSALAPI.NS successfully processed.
[2024-12-23 00:45:10] Processing symbol: ANSALHSG.NS - 118/2140
[2024-12-23 00:45:11] No data found for ANSALHSG.NS, skipping.
[2024-12-23 00:45:11] Processing symbol: ANTGRAPHIC.NS - 119/2140
[2024-12-23 00:45:11] Data for ANTGRAPHIC.NS successfully processed.
[2024-12-23 00:45:11] Processing symbol: ANUP.NS - 120/2140
[2024-12-23 00:45:12] Data for ANUP.NS successfully processed.
[2024-12-23 00:45:12] Processing symbol: ANURAS.NS - 121/2140
[2024-12-23 00:45:12] Data for ANURAS.NS successfully processed.
[2024-12-23 00:45:13] Processing symbol: APARINDS.NS - 122/2140
[2024-12-23 00:45:13] Data for APARINDS.NS successfully processed.
[2024-12-23 00:45:14] Processing symbol: APCL.NS - 123/2140
[2024-12-23 00:45:14] Data for APCL.NS successfully processed.
[2024-12-23 00:45:15] Processing symbol: APCOTEXIND.NS - 124/2140
[2024-12-23 00:45:15] Data for APCOTEXIND.NS successfully processed.
[2024-12-23 00:45:16] Processing symbol: APEX.NS - 125/2140
[2024-12-23 00:45:16] Data for APEX.NS successfully processed.
[2024-12-23 00:45:17] Processing symbol: APLAPOLLO.NS - 126/2140
[2024-12-23 00:45:17] Data for APLAPOLLO.NS successfully processed.
[2024-12-23 00:45:18] Processing symbol: APLLTD.NS - 127/2140
[2024-12-23 00:45:18] Data for APLLTD.NS successfully processed.
[2024-12-23 00:45:18] Processing symbol: APOLLO.NS - 128/2140
[2024-12-23 00:45:19] Data for APOLLO.NS successfully processed.
[2024-12-23 00:45:19] Processing symbol: APOLLOHOSP.NS - 129/2140
[2024-12-23 00:45:20] Data for APOLLOHOSP.NS successfully processed.
[2024-12-23 00:45:20] Processing symbol: APOLLOPIPE.NS - 130/2140
[2024-12-23 00:45:20] Data for APOLLOPIPE.NS successfully processed.
[2024-12-23 00:45:21] Processing symbol: APOLLOTYRE.NS - 131/2140
[2024-12-23 00:45:21] Data for APOLLOTYRE.NS successfully processed.
[2024-12-23 00:45:22] Processing symbol: APOLSINHOT.NS - 132/2140
[2024-12-23 00:45:22] Data for APOLSINHOT.NS successfully processed.
[2024-12-23 00:45:23] Processing symbol: APTECHT.NS - 133/2140
[2024-12-23 00:45:23] Data for APTECHT.NS successfully processed.
[2024-12-23 00:45:24] Processing symbol: APTUS.NS - 134/2140
[2024-12-23 00:45:24] Data for APTUS.NS successfully processed.
[2024-12-23 00:45:25] Processing symbol: ARCHIDPLY.NS - 135/2140
[2024-12-23 00:45:25] Data for ARCHIDPLY.NS successfully processed.
[2024-12-23 00:45:26] Processing symbol: ARCHIES.NS - 136/2140
[2024-12-23 00:45:26] Data for ARCHIES.NS successfully processed.
[2024-12-23 00:45:27] Processing symbol: ARE&M.NS - 137/2140
[2024-12-23 00:45:27] Data for ARE&M.NS successfully processed.
[2024-12-23 00:45:27] Processing symbol: ARENTERP.NS - 138/2140
[2024-12-23 00:45:28] Data for ARENTERP.NS successfully processed.
[2024-12-23 00:45:28] Processing symbol: ARIES.NS - 139/2140
[2024-12-23 00:45:29] Data for ARIES.NS successfully processed.
[2024-12-23 00:45:29] Processing symbol: ARIHANTCAP.NS - 140/2140
[2024-12-23 00:45:29] Data for ARIHANTCAP.NS successfully processed.
[2024-12-23 00:45:30] Processing symbol: ARIHANTSUP.NS - 141/2140
[2024-12-23 00:45:30] Data for ARIHANTSUP.NS successfully processed.
[2024-12-23 00:45:31] Processing symbol: ARISTO-SM.NS - 142/2140
[2024-12-23 00:45:31] No data found for ARISTO-SM.NS, skipping.
[2024-12-23 00:45:31] Processing symbol: ARKADE.NS - 143/2140
[2024-12-23 00:45:31] Data for ARKADE.NS successfully processed.
[2024-12-23 00:45:32] Processing symbol: ARMANFIN.NS - 144/2140
[2024-12-23 00:45:32] Data for ARMANFIN.NS successfully processed.
[2024-12-23 00:45:33] Processing symbol: AROGRANITE.NS - 145/2140
[2024-12-23 00:45:33] Data for AROGRANITE.NS successfully processed.
[2024-12-23 00:45:34] Processing symbol: ARROWGREEN.NS - 146/2140
[2024-12-23 00:45:34] Data for ARROWGREEN.NS successfully processed.
[2024-12-23 00:45:35] Processing symbol: ARSHIYA.NS - 147/2140
[2024-12-23 00:45:35] Data for ARSHIYA.NS successfully processed.
[2024-12-23 00:45:35] Processing symbol: ARSSINFRA.NS - 148/2140
[2024-12-23 00:45:36] Data for ARSSINFRA.NS successfully processed.
[2024-12-23 00:45:36] Processing symbol: ARTEMISMED.NS - 149/2140
